season,county,A,B,U,ttl,pop
2018-19,Adams,596,9,1,606,109237.0
2018-19,Allegheny,919,14,0,933,1169207.0
2018-19,Armstrong,9133,301,422,9856,66054.0
2018-19,Beaver,439,9,0,448,158212.0
2018-19,Bedford,1790,23,182,1995,51751.0
2018-19,Berks,338,29,0,367,450718.0
2018-19,Blair,3684,94,1,3779,114559.0
2018-19,Bradford,1293,32,0,1325,59359.0
2018-19,Bucks,960,9,0,969,673124.0
2018-19,Butler,2809,108,1,2918,206380.0
2018-19,Cambria,1203,77,2,1282,132810.0
2018-19,Cameron,1031,82,4,1117,5569.0
2018-19,Carbon,91,5,0,96,66843.0
2018-19,Centre,483,4,2,489,156620.0
2018-19,Chester,1705,149,0,1854,604385.0
2018-19,Clarion,2876,84,1,2961,38726.0
2018-19,Clearfield,355,16,6,377,81487.0
2018-19,Clinton,1285,41,0,1326,33669.0
2018-19,Columbia,331,9,0,340,67053.0
2018-19,Crawford,544,18,0,562,89515.0
2018-19,Cumberland,1578,29,0,1607,258880.0
2018-19,Dauphin,1837,102,0,1939,262550.0
2018-19,Delaware,1823,65,2,1890,566788.0
2018-19,Elk,4762,140,80,4982,28909.0
2018-19,Erie,775,3,0,778,275355.0
2018-19,Fayette,2411,22,0,2433,139362.0
2018-19,Forest,1568,68,0,1636,7579.0
2018-19,Franklin,16,0,0,16,141656.0
2018-19,Fulton,668,18,0,686,16603.0
2018-19,Greene,291,7,0,298,40018.0
2018-19,Huntingdon,387,6,0,393,47974.0
2018-19,Indiana,472,24,0,496,72876.0
2018-19,Jefferson,564,40,0,604,43775.0
2018-19,Juniata,946,18,0,964,24798.0
2018-19,Lackawanna,113,1,0,114,199310.0
2018-19,Lancaster,1538,37,149,1724,526194.0
2018-19,Lawrence,2304,63,1,2368,86145.0
2018-19,Lebanon,527,7,0,534,126069.0
2018-19,Lehigh,1313,81,0,1394,361437.0
2018-19,Luzerne,4002,111,122,4235,296621.0
2018-19,Lycoming,3061,35,0,3096,113105.0
2018-19,Mckean,1148,46,0,1194,
2018-19,Mercer,506,4,0,510,121376.0
2018-19,Mifflin,592,25,0,617,46421.0
2018-19,Monroe,333,24,208,565,208142.0
